"id","debt","mortgage","overdue"
1,541.41,0,0
3,572.65,0,0
5,2075.42,1353.23,15
7,644.91,0,0
8,582.1,0,83
12,569.2,0,0
14,526.37,0,0
15,853.69,0,0
16,941.3,941.3,0
19,970.43,0,0
22,639.4,0,0
23,2610.85,1783,0
24,1001.99,0,29
26,1094.13,1094.13,0
27,980.48,0,27
28,2308.38,1507.48,0
29,365.78,0,0
30,634.02,0,0
31,541.23,0,0
32,568.21,0,16
35,381.91,0,0
37,417.07,0,0
38,674.81,0,23
39,1221.28,1221.28,22
41,356.93,0,20
43,1660.15,1072.08,0
45,1016.49,1016.49,0
47,356.17,0,19
48,328.55,0,0
52,597.26,0,0
54,392.24,0,0
56,1605.82,1199.42,0
60,1154.55,0,0
63,508.44,0,26
64,808.74,808.74,0
65,1407.44,961.59,23
66,445.78,0,0
71,740.98,740.98,0
74,1920.01,1246.26,0
75,584.09,0,0
76,400.4,0,0
77,582.86,0,0
79,1358.57,1358.57,0
82,398.47,0,43
83,1353.76,914.82,45
84,1273.25,939.62,18
85,497.81,0,0
86,788.75,0,0
87,557.74,0,0
89,476.36,0,16
90,891.56,891.56,18
94,631.02,0,0
98,819.27,819.27,0
99,1491.99,839.33,29
100,555.89,0,0
102,573.42,0,0
103,1535.12,915.78,0
104,579.71,0,0
107,485.22,0,0
108,1653.22,1653.22,0
109,959,959,0
110,1054.23,0,0
112,551.27,0,0
113,785.51,0,0
114,867.63,0,0
118,623.4,0,21
120,299.46,0,0
121,494.99,0,0
122,234.51,0,0
123,497.41,0,0
125,1164,1164,20
126,1143.9,1143.9,0
129,1117.55,1117.55,0
131,475.22,0,19
132,1830.69,1491.81,0
134,897.51,897.51,0
135,2765.89,1807.63,0
139,881.49,0,25
142,251.91,0,16
143,623.76,623.76,0
144,575.65,0,0
147,1700.16,1052.18,16
149,484.87,0,0
152,748.33,748.33,0
154,838.46,0,0
161,1240.53,1240.53,0
163,2741.79,1756.65,0
166,642.25,0,0
168,853.24,0,0
170,461.54,0,0
172,311.52,0,0
174,1131.28,1131.28,20
175,341.25,0,0
176,439.5,0,0
179,938.56,938.56,35
180,604.35,0,37
183,1792.17,1792.17,0
185,680.72,0,0
186,560.27,0,0
187,1087.03,1087.03,0
188,703.03,0,0
189,1229.01,1229.01,21
193,674.97,0,0
194,538.72,0,41
195,1019.55,0,31
196,358.3,0,0
197,1110.41,0,0
198,1479.69,1052.22,0
199,1277.04,1277.04,16
200,579.93,0,0
202,627.01,0,33
204,804.62,0,0
205,421.94,0,0
207,1105.65,1105.65,0
209,412.92,0,0
211,527.74,0,0
212,833.57,0,0
213,436.75,0,0
214,2409.25,1407.67,0
215,608.96,0,22
218,1482.42,1482.42,0
220,397.3,0,19
221,463.6,0,29
222,450.65,0,0
224,423.05,0,0
225,313.45,0,0
227,743.13,0,0
228,600.28,0,0
229,1285.29,0,15
230,524.23,0,0
231,1253.81,725.52,18
232,1850.24,1508.68,17
233,1404.9,871.68,0
234,395.51,0,0
235,1255.83,1255.83,0
236,459.57,0,0
237,455.66,0,0
239,694.38,0,0
241,1317.38,1317.38,15
242,643.36,0,28
244,671.43,0,27
247,523.49,0,26
251,534.32,0,0
252,598.73,0,16
255,1181.31,1181.31,0
257,2087.78,1521.82,0
259,1317.77,1317.77,0
261,499.85,0,0
262,1121.93,800.33,25
264,840.48,0,0
266,1685.86,1346,0
267,370.55,0,21
271,329.13,0,0
273,2611.13,1686.59,0
274,284.48,0,22
276,682.94,0,0
277,629.47,0,0
279,1301.27,1301.27,0
280,532.55,0,0
281,597.18,0,0
282,270.97,0,0
283,1294.41,1076.33,0
290,399.55,0,17
292,1124.07,0,0
293,1186.73,1186.73,0
294,1141.29,893.57,0
297,874.01,0,21
298,1474.32,1474.32,0
301,343.81,0,0
303,895.12,0,0
304,397.97,0,16
307,860.38,860.38,29
308,1776.18,1776.18,0
316,581.81,0,0
317,477.53,0,20
325,251.06,0,0
326,1510.64,894.66,0
329,1559.59,942.26,39
330,464.88,0,0
332,693.34,0,0
333,1703.91,1068.97,17
334,616.72,0,0
336,850.45,0,0
338,566.05,0,0
339,588.22,0,0
340,1842.03,1399.53,0
341,630.33,0,0
342,2279.62,1353.3,0
344,445.89,0,16
345,465.26,0,0
347,460.49,0,0
350,3010.88,1856.6,0
351,1098.9,1098.9,0
354,387.8,0,0
355,1702.53,1092.14,0
356,634.33,0,0
358,301.4,0,0
360,863.63,0,0
361,779.51,779.51,0
362,1254.45,1254.45,0
363,1054.07,1054.07,0
367,1666.48,1175.38,25
369,272.9,0,0
370,767.93,0,0
371,471.32,471.32,0
373,347.05,0,0
375,685.3,0,0
376,734.9,734.9,0
381,1129.24,740.14,0
382,893.91,0,0
383,667.5,0,0
388,2055.37,1354.35,0
389,220.59,0,42
390,250.04,0,18
392,795.04,0,0
395,833.79,0,0
397,856.06,856.06,0
404,583.48,0,0
407,1232.47,0,0
411,861.2,861.2,21
412,598.68,0,0
413,738.37,0,0
415,678.42,678.42,0
416,460.95,0,0
418,1177.92,0,0
421,895.19,895.19,0
422,358.62,0,20
426,840.24,0,0
427,1486.62,1486.62,0
428,1733.5,1235.31,0
429,853.42,0,0
430,794.99,0,0
431,481.35,0,29
432,915.47,0,24
434,484.83,0,0
435,1444.22,1444.22,0
436,1063.62,1063.62,0
438,1780.23,1276.4,0
439,307.76,0,20
440,1218.21,1218.21,0
441,381.83,0,0
444,1204.29,1204.29,0
445,1229.58,1229.58,0
447,599.52,0,0
448,1263.4,1263.4,32
449,294.7,0,0
450,447.41,0,0
451,265.25,0,0
452,304.01,0,0
453,894.83,894.83,0
455,341.97,0,0
456,252.43,0,0
458,446.61,0,0
459,372.85,0,0
460,1216.26,836.75,0
461,351.7,0,18
465,563.35,0,36
468,1731.41,0,30
469,376.47,0,0
470,1013.96,1013.96,0
471,1676.94,1057.99,0
472,838.44,838.44,15
473,1295.9,1295.9,0
474,601.3,0,0
475,631.63,0,0
478,265.84,0,0
479,1389.56,1389.56,0
481,454.19,0,0
483,190.8,0,21
484,381.68,0,0
485,429.11,0,0
486,1785.5,1299.12,0
487,732.2,0,0
488,835.15,835.15,0
489,732.49,0,0
490,1333.29,1333.29,0
493,292.92,0,25
494,1181.58,1181.58,0
495,379.26,0,19
496,177.83,0,18
498,775.15,0,0
501,1034.58,1034.58,17
502,570.54,0,15
503,726.61,0,0
504,830.67,830.67,33
506,668.17,0,19
510,1611.96,1127.1,0
511,586.2,0,16
512,985.76,985.76,0
514,313.16,0,0
515,596.42,0,0
517,466.02,0,0
519,158.85,0,40
522,499.24,0,22
523,567.76,0,0
524,514.32,0,17
526,722.48,0,18
529,507.85,0,0
530,494.51,0,0
531,463.22,0,0
533,442.16,0,0
534,323.93,0,22
535,812.12,0,32
537,1060.75,0,0
540,1469.19,1469.19,0
541,1544.51,761.01,0
542,1608.81,1064.33,0
543,414.12,0,0
545,438.13,0,0
546,704.78,0,0
